;spell;feels_bad_man;feels_bad_man
10;{'name': 'Enfeeble', 'description': ''Applies Enfeeble targets that you cast an ability on, lowering the unit's magic and status resistances.'',  'attributes': [, {'name': 'AFFECTS', 'value': 'Enemy Units'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0STATUS RESISTANCE REDUCTION: 15% / 20% / 25% / 30%'}, {'name': 'MAGIC RESISTANCE REDUCTION', 'value': '4% / 8% / 12% / 16%'}, {'name': 'DURATION', 'value': '8'}, , ]};1;{'name': 'COOLDOWN', 'value': '0'};{'name': 'MANA COST', 'value': '0/0/0/0'}
11;{'name': ''Fiend's Grip'', 'description': ''CHANNELED - Grips an enemy unit, disabling it and causing heavy damage over time, while stealing mana every 0.5 seconds based on the unit's maximum mana.'',  'attributes': [, {'name': 'AFFECTS', 'value': 'Enemy Units'}, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'Yes'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0MANA DRAIN: 5%'}, {'name': 'DAMAGE', 'value': '100 / 155 / 215'}, , ]};5;{'name': 'COOLDOWN', 'value': '120/110/100'};{'name': 'MANA COST', 'value': '200/300/400'}
12;{'name': 'Bloodrage', 'description': 'Drives a unit into a bloodthirsty rage during which a unit deals, and takes, increased damage. Units affected by Bloodrage will be healed for a percentage of the max health of any units they kill. Units affected by Bloodrage when killed will heal a percentage of their max health to their killer. If you do not get the last hit, but are within 300 AoE of the dying hero, you will take 50% of the heal.',  'attributes': [, {'name': 'AFFECTS', 'value': 'Heroes'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0DURATION: 9 / 10 / 11 / 12'}, {'name': 'KILL HEAL PERCENTAGE', 'value': '13% / 17% / 21% / 25%'}, , ]};4;{'name': 'COOLDOWN', 'value': '9/8/7/6'};{'name': 'MANA COST', 'value': '0/0/0/0'}
13;{'name': 'Blood Rite', 'description': 'Bloodseeker baptizes an area in sacred blood. After 2.9 seconds the ritual completes, causing any enemies caught in the area to take damage and become silenced.',  'attributes': [, {'name': 'DAMAGE TYPE', 'value': 'Pure'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0RITUAL AREA: 600'}, {'name': 'SILENCE DURATION', 'value': '3 / 4 / 5 / 6'}, , ]};2;{'name': 'COOLDOWN', 'value': '12'};{'name': 'MANA COST', 'value': '70/80/90/100'}
14;{'name': 'Thirst', 'description': ''Bloodseeker is invigorated by the wounds of his enemies, gaining bonus movement speed and attack speed whenever an enemy hero's health falls below 75%, with the bonuses increasing as their health falls further. If an enemy hero's health falls below 25%, he will also gain vision and True Sight of that hero. Bonuses stack per hero.'',  'attributes': [, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0THIRST HEALTH THRESHHOLD: 75%'}, {'name': 'MAX ATTACK SPEED', 'value': '30 / 45 / 60 / 75'}, {'name': 'VISIBILITY HEALTH THRESHHOLD', 'value': '25%'}, , ]};1;{'name': 'COOLDOWN', 'value': '0'};{'name': 'MANA COST', 'value': '0/0/0/0'}
15;{'name': 'Rupture', 'description': ''Causes an enemy unit's skin to rupture. If the unit moves, it takes damage based on the distance moved.  The damage is dealt through spell immunity.'',  'attributes': [, {'name': 'AFFECTS', 'value': 'Enemy Units'}, {'name': 'DAMAGE TYPE', 'value': 'Pure'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'Yes'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0DURATION: 10 / 11 / 12'}, , ]};4;{'name': 'COOLDOWN', 'value': '70'};{'name': 'MANA COST', 'value': '200/225/250'}
16;{'name': 'Crystal Nova', 'description': 'A burst of damaging frost slows enemy movement and attack rate in the targeted area.',  'attributes': [, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0RADIUS: 425'}, {'name': 'MOVEMENT SLOW', 'value': '20% / 30% / 40% / 50%'}, {'name': 'ATTACK SLOW', 'value': '20 / 30 / 40 / 50'}, {'name': 'DURATION', 'value': '4.5'}, , ]};2;{'name': 'COOLDOWN', 'value': '11/10/9/8'};{'name': 'MANA COST', 'value': '130/145/160/175'}
17;{'name': 'Frostbite', 'description': 'Encases an enemy unit in ice, prohibiting movement and attack, while dealing damage over time. Lasts 10 seconds on creeps level 6 or lower.',  'attributes': [, {'name': 'AFFECTS', 'value': 'Enemy Units'}, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0HERO TOTAL DAMAGE: 150 / 200 / 250 / 300'}, {'name': 'CREEP TOTAL DAMAGE', 'value': '1000'}, {'name': 'CREEP DURATION', 'value': '10'}, , ]};4;{'name': 'COOLDOWN', 'value': '9/8/7/6'};{'name': 'MANA COST', 'value': '140/145/150/155'}
18;{'name': 'Arcane Aura', 'description': 'Gives additional mana regeneration and magic resistance to all friendly units on the map. This bonus is increased for Crystal Maiden.',  'attributes': [, {'name': 'AFFECTS', 'value': 'Allies'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'Yes'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0MANA REGEN: 0.5 / 1 / 1.5 / 2'}, {'name': 'SELF BONUS FACTOR', 'value': '3'}, , ]};1;{'name': 'COOLDOWN', 'value': '0'};{'name': 'MANA COST', 'value': '0/0/0/0'}
19;{'name': 'Freezing Field', 'description': 'CHANNELED - Surrounds Crystal Maiden with random icy explosions that slow enemies and deal massive damage. Grants bonus armor while channeling. Lasts %abilitychanneltime% seconds.',  'attributes': [, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0RADIUS: 835'}, {'name': 'EXPLOSION RADIUS', 'value': '300'}, {'name': 'BONUS ARMOR', 'value': '20'}, {'name': 'MOVEMENT SLOW', 'value': '30%'}, {'name': 'ATTACK SLOW', 'value': '60'}, , ]};6;{'name': 'COOLDOWN', 'value': '110/100/90'};{'name': 'MANA COST', 'value': '200/400/600'}
20;{'name': 'Frost Arrows', 'description': ''Adds a freezing effect to Drow's attacks, slowing enemy movement and dealing bonus damage.  Slow lasts %abilityduration% seconds.'',  'attributes': [, {'name': 'AFFECTS', 'value': 'Enemy Units'}, {'name': 'DAMAGE TYPE', 'value': 'Physical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0MOVEMENT SLOW: 16% / 32% / 48% / 64%'}, {'name': 'BONUS DAMAGE', 'value': '5 / 10 / 15 / 20'}, , ]};7;{'name': 'COOLDOWN', 'value': '0'};{'name': 'MANA COST', 'value': '12/12/12/12'}
21;{'name': 'Gust', 'description': 'Releases a wave that silences and knocks back enemy units. Knockback distance is relative to how close they are to you.',  'attributes': [, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0WIDTH: 250'}, {'name': 'KNOCKBACK MAX', 'value': '450'}, {'name': 'KNOCKBACK DURATION', 'value': '0.6 / 0.7 / 0.8 / 0.9'}, , ]};2;{'name': 'COOLDOWN', 'value': '16/15/14/13'};{'name': 'MANA COST', 'value': '90'}
22;{'name': 'Multishot', 'description': 'Channeling. Drow releases a flurry of arrows in continuous salvos, hitting enemies for extra damage and applying longer duration Frost Arrows. Lasts up to %abilitychanneltime% seconds.',  'attributes': [, {'name': 'AFFECTS', 'value': 'Enemy Units'}, {'name': 'DAMAGE TYPE', 'value': 'Physical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0ARROW COUNT: 12'}, {'name': 'ARROW SLOW DURATION', 'value': '1 / 2 / 3 / 4'}, {'name': 'ARROW RANGE MULTIPLIER', 'value': '2'}, , ]};2;{'name': 'COOLDOWN', 'value': '26/24/22/20'};{'name': 'MANA COST', 'value': '50/60/70/80'}
23;{'name': 'Marksmanship', 'description': ''Drow's experiences in battle grant her a chance to launch arrows with incredible accuracy and effectiveness. Pierces through the enemy's defenses, ignoring their base armor. Grants Drow and nearby ranged heroes with bonus agility based on your current agility. This ability is disabled if there is an enemy hero within 400 range.'',  'attributes': [, {'name': 'DAMAGE TYPE', 'value': 'Physical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'Yes'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0AGILITY BONUS: 28% / 36% / 44%'}, {'name': 'AGILITY RADIUS', 'value': '1200'}, , ]};1;{'name': 'COOLDOWN', 'value': '0'};{'name': 'MANA COST', 'value': '0/0/0/0'}
24;{'name': 'Fissure', 'description': 'Slams the ground with a mighty totem, creating an impassable ridge of stone while stunning and damaging enemy units along its line.',  'attributes': [, {'name': 'AFFECTS', 'value': 'Enemy Units'}, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '110 / 160 / 210 / 260FISSURE DURATION: 8'}, {'name': 'STUN DURATION', 'value': '1 / 1.25 / 1.5 / 1.75'}, , ]};2;{'name': 'COOLDOWN', 'value': '21/19/17/15'};{'name': 'MANA COST', 'value': '110/130/150/170'}
25;{'name': 'Enchant Totem', 'description': ''Empowers Earthshaker's totem, causing it to deal extra damage on the next attack.'',  'attributes': [, {'name': 'AFFECTS', 'value': 'Enemy Units'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0BONUS ATTACK RANGE: 75'}, , ]};3;{'name': 'COOLDOWN', 'value': '5'};{'name': 'MANA COST', 'value': '35/40/45/50'}
26;{'name': 'Aftershock', 'description': 'Causes the earth to shake underfoot, adding additional damage and stuns to nearby enemy units when Earthshaker casts his abilities.',  'attributes': [, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '75 / 100 / 125 / 150RADIUS: 300'}, , ]};1;{'name': 'COOLDOWN', 'value': '0'};{'name': 'MANA COST', 'value': '0/0/0/0'}
27;{'name': 'Echo Slam', 'description': 'Shockwaves travel through the ground, damaging enemy units.  Each enemy hit causes an echo to damage nearby units. Real heroes cause two echoes.',  'attributes': [, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0INITIAL DAMAGE: 100 / 140 / 180'}, , ]};3;{'name': 'COOLDOWN', 'value': '150/130/110'};{'name': 'MANA COST', 'value': '145/205/265'}
28;{'name': 'Blade Fury', 'description': 'Causes a bladestorm of destructive force around Juggernaut, rendering him immune to magic and dealing damage to nearby enemy units. \r\n\r\nDISPEL TYPE: Basic Dispel',  'attributes': [, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0RADIUS: 250'}, , ]};3;{'name': 'COOLDOWN', 'value': '42/34/26/18'};{'name': 'MANA COST', 'value': '120/110/100/90'}
29;{'name': 'Healing Ward', 'description': 'Summons a Healing Ward which heals all nearby allied units, based on their max health.  The Healing Ward moves at 350 movement speed after being summoned.  Lasts %abilityduration% seconds.',  'attributes': [, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'Yes'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0MAX HEALTH PER SECOND: 2% / 3% / 4% / 5%'}, , ]};2;{'name': 'COOLDOWN', 'value': '60'};{'name': 'MANA COST', 'value': '140'}
30;{'name': 'Blade Dance', 'description': 'Gives Juggernaut a chance to deal critical damage on each attack.',  'attributes': [, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0CRITICAL CHANCE: 20% / 25% / 30% / 35%'}, {'name': 'CRITICAL DAMAGE', 'value': '180%'}, , ]};1;{'name': 'COOLDOWN', 'value': '0'};{'name': 'MANA COST', 'value': '0/0/0/0'}
31;{'name': 'Omnislash', 'description': 'Juggernaut leaps towards the target enemy units, and then slashes the target and other nearby enemy units at an increased attack rate. Juggernaut is invulnerable for the duration.',  'attributes': [, {'name': 'AFFECTS', 'value': 'Enemy Units'}, {'name': 'DAMAGE TYPE', 'value': 'Physical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'Yes'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0SLASHES RATE MULTIPLIER: 1.7'}, {'name': 'SLASH JUMP RADIUS', 'value': '425'}, , ]};4;{'name': 'COOLDOWN', 'value': '140'};{'name': 'MANA COST', 'value': '200/275/350'}
32;{'name': 'Starstorm', 'description': 'Calls down a wave of meteors to damage nearby enemy units. The closest enemy unit to Mirana in a 425 radius will be struck a second time for 75% of the damage.',  'attributes': [, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '75 / 150 / 225 / 300RADIUS: 650'}, , ]};3;{'name': 'COOLDOWN', 'value': '12'};{'name': 'MANA COST', 'value': '80/105/130/155'}
33;{'name': 'Sacred Arrow', 'description': 'Fires a long-range arrow with deadly precision, which stuns and damages the first enemy unit it strikes. The stun duration ranges from 0.01 to 3.5 seconds, with bonus damage up to 180 added, based on the distance the arrow travels to its target. Instantly kills the first non-ancient creep it hits.',  'attributes': [, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '40 / 120 / 200 / 280RANGE: 3000'}, {'name': 'MINIMUM STUN', 'value': '0.01'}, {'name': 'MAXIMUM STUN', 'value': '3.5 / 4 / 4.5 / 5'}, {'name': 'MAXIMUM BONUS DAMAGE', 'value': '180'}, , ]};2;{'name': 'COOLDOWN', 'value': '18/17/16/15'};{'name': 'MANA COST', 'value': '100/100/100/100'}
34;{'name': 'Leap', 'description': 'Mirana leaps forward into battle, empowering herself with a ferocious roar that grants bonus attack and movement speed. Speed bonus lasts 2.5 seconds.',  'attributes': [, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0DISTANCE: 550'}, {'name': 'MOVEMENT BONUS', 'value': '8% / 16% / 24% / 32%'}, {'name': 'MAX CHARGES', 'value': '3'}, {'name': 'CHARGE REPLENISH TIME', 'value': '45 / 40 / 35 / 30'}, ]};3;feels_bad_man;{'name': 'MANA COST', 'value': '40'}
35;{'name': 'Moonlight Shadow', 'description': ''Turns Mirana and all allied heroes invisible and grants bonus movment speed. If a hero is revealed, invisibility will restore after the fade delay as long as Moonlight Shadow's duration has not expired.'',  'attributes': [, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'Yes'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0FADE DELAY: 2.5 / 2 / 1.5'}, {'name': 'DURATION', 'value': '18'}, {'name': 'MOVEMENT SPEED', 'value': '15%'}, , ]};3;{'name': 'COOLDOWN', 'value': '140/120/100'};{'name': 'MANA COST', 'value': '125'}
36;{'name': 'Waveform', 'description': 'Morphling dissolves into liquid and surges forward, damaging enemy units in his path.  Morphling is invulnerable during Waveform.',  'attributes': [, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '75 / 150 / 225 / 300'}, , ]};2;{'name': 'COOLDOWN', 'value': '20/17/14/11'};{'name': 'MANA COST', 'value': '150/155/160/165'}
37;{'name': 'Adaptive Strike (Agility)', 'description': ''Launches a surge of water toward an enemy unit, dealing base damage plus additional damage based on Morphling's agility times a multiplier.  If Morphling's agility is 50% higher than strength, the maximum agility multiplier is used. \r\n\r\n Also puts Adaptive Strike (Strength) on a 3 second cooldown.'',  'attributes': [, {'name': 'AFFECTS', 'value': 'Enemy Units'}, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0BASE DAMAGE: 70 / 80 / 90 / 100'}, , ]};4;{'name': 'COOLDOWN', 'value': '10'};{'name': 'MANA COST', 'value': '80'}
38;{'name': 'Adaptive Strike (Strength)', 'description': ''Launches a surge of water toward an enemy unit, stunning and knocking back the target based on Morphling's strength. If his strength is 50% higher than his agility, the maximum stun/knockback is dealt. \r\n\r\n Also puts Adaptive Strike (Agility) on a 3 second cooldown.'',  'attributes': [, {'name': 'AFFECTS', 'value': 'Enemy Units'}, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0STUN MIN: 0.5'}, {'name': 'STUN MAX', 'value': '1.5 / 2 / 2.5 / 3'}, {'name': 'KNOCKBACK MIN', 'value': '100'}, {'name': 'KNOCKBACK MAX', 'value': '500'}, , ]};4;{'name': 'COOLDOWN', 'value': '10'};{'name': 'MANA COST', 'value': '80'}
39;{'name': 'Attribute Shift (Agility Gain)', 'description': 'Morphling shifts its form, pulling points from Strength and pouring them into Agility. The process is reversible.  Additional points in Attribute Shift increase the rate of stat change.  Passively grants bonus Agility.',  'attributes': [, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0BONUS AGILITY: 3 / 5 / 7 / 9'}, {'name': 'SHIFT RATE', 'value': '1 / 4 / 10 / 25'}, , ]};8;{'name': 'COOLDOWN', 'value': '0'};{'name': 'MANA COST', 'value': '0/0/0/0'}
40;{'name': 'Attribute Shift (Strength Gain)', 'description': 'Morphling shifts its form, pulling points from Agility and pouring them into Strength. The process is reversible.  Additional points in Attribute Shift increase the rate of stat change.  Passively grants bonus Strength.',  'attributes': [, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0BONUS STRENGTH: 3 / 5 / 7 / 9'}, {'name': 'SHIFT RATE', 'value': '1 / 4 / 10 / 25'}, , ]};8;{'name': 'COOLDOWN', 'value': '0'};{'name': 'MANA COST', 'value': '0/0/0/0'}
41;{'name': 'Morph', 'description': 'Morphling changes his form to match the targeted enemy, gaining their basic abilities. Can be toggled for the duration of the ability.',  'attributes': [, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'Yes'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0MANA COST REDUCTION: 50%'}, , ]};4;{'name': 'COOLDOWN', 'value': '160/100/40'};{'name': 'MANA COST', 'value': '50'}
42;{'name': 'Shadowraze', 'description': 'Shadow Fiend razes the ground directly in front of him, dealing damage to enemy units in the area. Adds a stacking damage amplifier on the target that causes the enemy to take bonus Shadow Raze damage per stack.',  'attributes': [, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0RANGE: 200'}, {'name': 'STACK DURATION', 'value': '8'}, , ]};3;{'name': 'COOLDOWN', 'value': '10'};{'name': 'MANA COST', 'value': '90'}
43;{'name': 'Necromastery', 'description': 'Shadow Fiend steals the soul from units he kills, gaining bonus damage. If the killed unit is a hero, he gains an additional 11 bonus souls.  On death, he releases half of them from bondage.',  'attributes': [, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0'}, , ]};1;{'name': 'COOLDOWN', 'value': '0'};{'name': 'MANA COST', 'value': '0/0/0/0'}
44;{'name': 'Presence of the Dark Lord', 'description': ''Shadow Fiend's presence reduces the armor of nearby enemies.'',  'attributes': [, {'name': 'AFFECTS', 'value': 'Enemies'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'Yes'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0RADIUS: 1200'}, , ]};9;{'name': 'COOLDOWN', 'value': '0'};{'name': 'MANA COST', 'value': '0/0/0/0'}
45;{'name': 'Requiem of Souls', 'description': 'Shadow Fiend gathers his captured souls to release them as lines of demonic energy. Units near Shadow Fiend when the souls are released can be damaged by several lines of energy. Any unit damaged by Requiem of Souls will be feared and have its movement speed reduced for 0.8 seconds for each line hit. Lines of energy are created for every 2 souls captured through Necromastery.  Requiem of Souls is automatically cast whenever Shadow Fiend dies, regardless of its cooldown.',  'attributes': [, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '80 / 120 / 160MOVEMENT REDUCTION: 25%'}, , ]};3;{'name': 'COOLDOWN', 'value': '120/110/100'};{'name': 'MANA COST', 'value': '150/175/200'}
46;{'name': 'Spirit Lance', 'description': 'Sends a magical spirit lance to a target enemy unit that damages and slows, while summoning an illusory phantom to attack the unit.',  'attributes': [, {'name': 'AFFECTS', 'value': 'Enemy Units'}, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0SLOW DURATION: 3.25'}, {'name': 'MOVEMENT SLOW', 'value': '10% / 18% / 26% / 34%'}, {'name': 'ILLUSION DURATION', 'value': '2 / 4 / 6 / 8'}, , ]};4;{'name': 'COOLDOWN', 'value': '7'};{'name': 'MANA COST', 'value': '110/120/130/140'}
